交易日期,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,隔日漲跌價,隔日收盤,隔日漲跌,slowk,slowd,K-D,upperband,middleband,lowerband,band_width,BIAS20,BIAS60,BIAS5,OBV,macd,macdsignal,macdhist,RSI
2013-04-08,2013-04-01,7859,7870,7733,7739,-197,-0.0248,128621,-30.0,7709.0,0,57.29594860681004,76.50280634182337,-19.20685773501333,8053.32413491369,7885.35,7717.375865086311,335.9482698273787,-0.01855973419061936,-0.013947522658353596,-0.018416579995433884,-471573.0,-7.57378944971515,-2.430880305971347,-5.142909143743803,39.23460822273807
2013-04-09,2013-04-01,7717,7750,7697,7709,-28,-0.0036,84475,19.0,7728.0,1,32.45395422478757,58.45008122512806,-25.996127000340486,8045.135686109055,7870.4,7695.664313890944,349.47137221811136,-0.020507216914006865,-0.017638500992895788,-0.01688473996990329,-556048.0,-19.422694562724246,-5.829243157321927,-13.59345140540232,37.44604268666456
2013-04-10,2013-04-01,7737,7745,7713,7728,20,0.0026,59229,90.0,7818.0,1,6.508049242424254,32.085984024673955,-25.577934782249702,8020.895932281089,7854.65,7688.4040677189105,332.4918645621783,-0.016124206680119373,-0.015018587360594757,-0.009611687812379853,-496819.0,-26.969014015221546,-10.05719732890185,-16.911816686319696,39.332338590345174
2013-04-11,2013-04-01,7776,7825,7759,7818,92,0.0119,84730,-34.0,7784.0,0,21.354166666666675,20.105390044626166,1.2487766220405092,7998.607712223877,7845.6,7692.592287776124,306.0154244477526,-0.0035178953808504593,-0.0036406581222360444,0.0041615289765720865,-412089.0,-25.39454619008211,-13.124667101137902,-12.269879088944208,47.42042359633774
2013-04-12,2013-04-01,7822,7832,7783,7784,-32,-0.0041,64379,-21.0,7763.0,0,31.119791666666675,19.6606691919192,11.459122474747474,7975.212972950994,7835.3,7695.387027049006,279.82594590198823,-0.00654729238191265,-0.008062255222625258,0.0036618701325493368,-476468.0,-26.58384295169526,-15.816502271249373,-10.767340680445887,44.980725966874935
2013-04-15,2013-04-01,7763,7816,7729,7763,-21,-0.0027,109119,17.0,7780.0,1,35.67708333333334,29.38368055555556,6.293402777777782,7958.047646481885,7825.8,7693.5523535181155,264.4952929637693,-0.008024738684862913,-0.010860193589215437,0.00033503427658372815,-585587.0,-28.88789206177171,-18.43078022935384,-10.45711183241787,43.49236371304839
2013-04-16,2013-04-01,7710,7786,7693,7780,19,0.0024,118952,29.0,7809.0,1,31.07572115384616,32.62419871794872,-1.548477564102562,7947.057739491554,7819.3,7691.542260508447,255.51547898310673,-0.0050260253475375265,-0.008778300143969173,0.000694569495536701,-466635.0,-29.007726640187684,-20.54616951152061,-8.461557128667074,45.076720392481036
2013-04-17,2013-04-01,7783,7809,7772,7809,34,0.0044,57751,-58.0,7751.0,0,34.61939102564103,33.79073183760684,0.8286591880341874,7947.3950784904155,7820.15,7692.904921509584,254.49015698083167,-0.0014258038528672259,-0.005026470194751807,0.0023360887200287285,-408884.0,-26.45765143364588,-21.728465895945664,-4.729185537700214,47.767159822725205
2013-04-18,2013-05-01,7715,7775,7700,7751,-4,-0.0005,104794,193.0,7944.0,1,36.94842821961467,34.214513466367286,2.733914753247383,7946.615653982913,7816.05,7685.484346017088,261.1313079658248,-0.008322618202288903,-0.012315788803017418,-0.0033944505875999225,-513678.0,-28.784998192809326,-23.139772355318396,-5.64522583749093,43.20837238069102
2013-04-19,2013-05-01,7784,7945,7782,7944,194,0.025,139916,9.0,7953.0,1,58.99564026682672,43.521153170694134,15.474487096132584,7964.949787985804,7823.45,7681.950212014196,282.99957597160756,0.01540880302168483,0.012026090501426777,0.01723563910159556,-373762.0,-14.884372454913319,-21.48869237523738,6.604319920324063,57.68154461398641
2013-04-22,2013-05-01,7952,7976,7938,7953,11,0.0014,64238,-25.0,7928.0,0,74.7481092348434,56.8973925737616,17.850716661081798,7982.892836955828,7831.25,7679.607163044172,303.285673911656,0.015546687948922586,0.012716792448025007,0.013456686291000887,-309524.0,-3.105997618044057,-17.812153423798716,14.706155805754658,58.216301247168744
2013-04-23,2013-05-01,7942,7951,7896,7928,-27,-0.0034,79418,63.0,7991.0,1,91.50494512685327,75.0828982095078,16.42204691734547,7993.853580603754,7838.85,7683.846419396246,310.00716120750803,0.011372841679583055,0.009081478747303287,0.006474546147010283,-388942.0,4.163167825292476,-13.417089173980477,17.580256999272954,56.09579826373968
2013-04-24,2013-05-01,7967,8015,7949,7991,65,0.0082,110367,13.0,8004.0,1,89.15274820943897,85.13526752371189,4.0174806857270795,8014.463492935739,7845.85,7677.236507064262,337.22698587147715,0.018500226234251183,0.016283082297182203,0.00980615159097232,-278575.0,14.836580433886411,-7.766355252407099,22.60293568629351,60.04534194106892
2013-04-25,2013-05-01,7976,8009,7970,8004,12,0.0015,71490,-6.0,7998.0,0,90.72310134685308,90.46026489438178,0.26283645247130494,8036.269641797268,7854.25,7672.230358202732,364.03928359453676,0.01906611070439571,0.017304600367317582,0.005022601707684581,-207085.0,24.06689993709915,-1.3997042145058485,25.466604151605,60.82841002217682
2013-04-26,2013-05-01,8010,8066,7996,7998,-7,-0.0009,94160,25.0,8023.0,1,90.29995725997593,90.05860227208933,0.24135498788659504,8053.677686320685,7861.15,7668.622313679314,385.0553726413709,0.01740839444610526,0.01590715673863067,0.002909163866178439,-301245.0,30.54573259702829,4.98938314780098,25.556349449227312,60.241568337794824
2013-04-29,2013-05-01,8010,8042,8001,8023,26,0.0033,62673,75.0,8098.0,1,88.8682180164049,89.96375887441131,-1.0955408580064159,8074.907205539989,7870.2,7665.49279446001,409.4144110799789,0.019415008513125484,0.018496185241135898,0.004280993390747023,-238572.0,37.267943568801456,11.445095232001076,25.82284833680038,61.89129547154473
2013-04-30,2013-05-01,8067,8122,8062,8098,77,0.0096,79288,22.0,8120.0,1,88.11119977535616,89.09312501724567,-0.9819252418895132,8105.709321748835,7878.95,7652.190678251165,453.5186434976695,0.027801927921867784,0.027202212201355963,0.009373286134516604,-159284.0,48.0928331498917,18.774642815579202,29.3181903343125,66.3961232663056
2013-05-02,2013-05-01,8083,8127,8083,8120,22,0.0027,63345,20.0,8140.0,1,93.51172560716769,90.1637144663096,3.348011140858091,8138.557271528679,7888.95,7639.342728471321,499.21454305735824,0.029287801291680158,0.029039964008947025,0.00887110801878583,-95939.0,57.780791275818046,26.575872507626972,31.204918768191074,67.60579473883126
